"name"	"package"	"summary"	"Description"	"Usage"	"Arguments"	"error"
"stats-package"	"stats"	"The R Stats Package"	"<p>R statistical functions </p>"	NA	NA	FALSE
"acf"	"stats"	"Auto- and Cross- Covariance and -Correlation Function Estimation"	"<p>The function <code>acf</code> computes (and by default plots) estimates of the autocovariance or autocorrelation function.  Function <code>pacf</code> is the function used for the partial autocorrelations.  Function <code>ccf</code> computes the cross-correlation or cross-covariance of two univariate series. </p>"	"<pre>acf(x, lag.max = NULL,<br />     type = c('correlation', 'covariance', 'partial'),<br />     plot = TRUE, na.action = na.fail, demean = TRUE, ...)<br />pacf(x, lag.max, plot, na.action, ...)<br />## Default S3 method: pacf(x, lag.max = NULL, plot = TRUE, na.action = na.fail,<br />     ...)<br />ccf(x, y, lag.max = NULL, type = c('correlation', 'covariance'),<br />     plot = TRUE, na.action = na.fail, ...)<br />## S3 method for class 'acf' x[i, j] </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x, y</code></td> <td> <p>a univariate or multivariate (not <code>ccf</code>) numeric time series object or a numeric vector or matrix, or an <code>'acf'</code> object.</p> </td> </tr> <tr valign='top'> <td><code>lag.max</code></td> <td> <p>maximum lag at which to calculate the acf. Default is <i>10*log10(N/m)</i> where <i>N</i> is the number of observations and <i>m</i> the number of series.  Will be automatically limited to one less than the number of observations in the series.</p> </td> </tr> <tr valign='top'> <td><code>type</code></td> <td> <p>character string giving the type of acf to be computed. Allowed values are <code>'correlation'</code> (the default), <code>'covariance'</code> or <code>'partial'</code>.  Will be partially matched.</p> </td> </tr> <tr valign='top'> <td><code>plot</code></td> <td> <p>logical. If <code>TRUE</code> (the default) the acf is plotted.</p> </td> </tr> <tr valign='top'> <td><code>na.action</code></td> <td> <p>function to be called to handle missing values. <code>na.pass</code> can be used.</p> </td> </tr> <tr valign='top'> <td><code>demean</code></td> <td> <p>logical.  Should the covariances be about the sample means?</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments to be passed to <code>plot.acf</code>.</p> </td> </tr> <tr valign='top'> <td><code>i</code></td> <td> <p>a set of lags (time differences) to retain.</p> </td> </tr> <tr valign='top'> <td><code>j</code></td> <td> <p>a set of series (names or numbers) to retain.</p> </td> </tr> </table> "	FALSE
"acf2AR"	"stats"	"Compute an AR Process Exactly Fitting an ACF"	"<p>Compute an AR process exactly fitting an autocorrelation function. </p>"	"<pre>acf2AR(acf) </pre>"	"<table summary='R argblock'><tr valign='top'> <td><code>acf</code></td> <td> <p>An autocorrelation or autocovariance sequence.</p> </td> </tr></table> "	FALSE
"factor.scope"	"stats"	"Compute Allowed Changes in Adding to or Dropping from a Formula"	"<p><code>add.scope</code> and <code>drop.scope</code> compute those terms that can be individually added to or dropped from a model while respecting the hierarchy of terms. </p>"	"<pre>add.scope(terms1, terms2)<br />drop.scope(terms1, terms2)<br />factor.scope(factor, scope) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>terms1</code></td> <td> <p>the terms or formula for the base model.</p> </td> </tr> <tr valign='top'> <td><code>terms2</code></td> <td> <p>the terms or formula for the upper (<code>add.scope</code>) or lower (<code>drop.scope</code>) scope. If missing for <code>drop.scope</code> it is taken to be the null formula, so all terms (except any intercept) are candidates to be dropped.</p> </td> </tr> <tr valign='top'> <td><code>factor</code></td> <td> <p>the <code>'factor'</code> attribute of the terms of the base object.</p> </td> </tr> <tr valign='top'> <td><code>scope</code></td> <td> <p>a list with one or both components <code>drop</code> and <code>add</code> giving the <code>'factor'</code> attribute of the lower and upper scopes respectively.</p> </td> </tr> </table> "	FALSE
"add1"	"stats"	"Add or Drop All Possible Single Terms to a Model"	"<p>Compute all the single terms in the <code>scope</code> argument that can be added to or dropped from the model, fit those models and compute a table of the changes in fit. </p>"	"<pre>add1(object, scope, ...)<br />## Default S3 method: add1(object, scope, scale = 0, test = c('none', 'Chisq'),<br />      k = 2, trace = FALSE, ...)<br />## S3 method for class 'lm' add1(object, scope, scale = 0, test = c('none', 'Chisq', 'F'),<br />      x = NULL, k = 2, ...)<br />## S3 method for class 'glm' add1(object, scope, scale = 0,<br />      test = c('none', 'Rao', 'LRT', 'Chisq', 'F'),<br />      x = NULL, k = 2, ...)<br />drop1(object, scope, ...)<br />## Default S3 method: drop1(object, scope, scale = 0, test = c('none', 'Chisq'),<br />       k = 2, trace = FALSE, ...)<br />## S3 method for class 'lm' drop1(object, scope, scale = 0, all.cols = TRUE,<br />       test = c('none', 'Chisq', 'F'), k = 2, ...)<br />## S3 method for class 'glm' drop1(object, scope, scale = 0,<br />       test = c('none', 'Rao', 'LRT', 'Chisq', 'F'),<br />       k = 2, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>object</code></td> <td> <p>a fitted model object.</p> </td> </tr> <tr valign='top'> <td><code>scope</code></td> <td> <p>a formula giving the terms to be considered for adding or dropping.</p> </td> </tr> <tr valign='top'> <td><code>scale</code></td> <td> <p>an estimate of the residual mean square to be used in computing <i>Cp</i>. Ignored if <code>0</code> or <code>NULL</code>.</p> </td> </tr> <tr valign='top'> <td><code>test</code></td> <td> <p>should the results include a test statistic relative to the original model?  The F test is only appropriate for <code>lm</code> and <code>aov</code> models or perhaps for <code>glm</code> fits with estimated dispersion. The <i>Chisq</i> test can be an exact test (<code>lm</code> models with known scale) or a likelihood-ratio test or a test of the reduction in scaled deviance depending on the method. For <code>glm</code> fits, you can also choose <code>'LRT'</code> and <code>'Rao'</code> for likelihood ratio tests and Rao's efficient score test. The former is synonymous with <code>'Chisq'</code> (although both have an asymptotic chi-square distribution). Values can be abbreviated. </p> </td> </tr> <tr valign='top'> <td><code>k</code></td> <td> <p>the penalty constant in AIC / <i>Cp</i>.</p> </td> </tr> <tr valign='top'> <td><code>trace</code></td> <td> <p>if <code>TRUE</code>, print out progress reports.</p> </td> </tr> <tr valign='top'> <td><code>x</code></td> <td> <p>a model matrix containing columns for the fitted model and all terms in the upper scope.  Useful if <code>add1</code> is to be called repeatedly.  <b>Warning:</b> no checks are done on its validity.</p> </td> </tr> <tr valign='top'> <td><code>all.cols</code></td> <td> <p>(Provided for compatibility with S.)  Logical to specify whether all columns of the design matrix should be used.  If <code>FALSE</code> then non-estimable columns are dropped, but the result is not usually statistically meaningful.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments passed to or from other methods.</p> </td> </tr> </table> "	FALSE
"addmargins"	"stats"	"Puts Arbitrary Margins on Multidimensional Tables or Arrays"	"<p>For a given table one can specify which of the classifying factors to expand by one or more levels to hold margins to be calculated.  One may for example form sums and means over the first dimension and medians over the second.  The resulting table will then have two extra levels for the first dimension and one extra level for the second.  The default is to sum over all margins in the table.  Other possibilities may give results that depend on the order in which the margins are computed.  This is flagged in the printed output from the function. </p>"	"<pre>addmargins(A, margin = seq_along(dim(A)), FUN = sum, quiet = FALSE) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>A</code></td> <td> <p>table or array.  The function uses the presence of the <code>'dim'</code> and <code>'dimnames'</code> attributes of <code>A</code>.</p> </td> </tr> <tr valign='top'> <td><code>margin</code></td> <td> <p>vector of dimensions over which to form margins.  Margins are formed in the order in which dimensions are specified in <code>margin</code>.</p> </td> </tr> <tr valign='top'> <td><code>FUN</code></td> <td> <p>list of the same length as <code>margin</code>, each element of the list being either a function or a list of functions.  Names of the list elements will appear as levels in dimnames of the result. Unnamed list elements will have names constructed:  the name of a function or a constructed name based on the position in the table.</p> </td> </tr> <tr valign='top'> <td><code>quiet</code></td> <td> <p>logical which suppresses the message telling the order in which the margins were computed.</p> </td> </tr> </table> "	FALSE
"aggregate"	"stats"	"Compute Summary Statistics of Data Subsets"	"<p>Splits the data into subsets, computes summary statistics for each, and returns the result in a convenient form. </p>"	"<pre>aggregate(x, ...)<br />## Default S3 method: aggregate(x, ...)<br />## S3 method for class 'data.frame' aggregate(x, by, FUN, ..., simplify = TRUE, drop = TRUE)<br />## S3 method for class 'formula' aggregate(formula, data, FUN, ...,<br />           subset, na.action = na.omit)<br />## S3 method for class 'ts' aggregate(x, nfrequency = 1, FUN = sum, ndeltat = 1,<br />           ts.eps = getOption('ts.eps'), ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>an R object.</p> </td> </tr> <tr valign='top'> <td><code>by</code></td> <td> <p>a list of grouping elements, each as long as the variables in the data frame <code>x</code>.  The elements are coerced to factors before use.</p> </td> </tr> <tr valign='top'> <td><code>FUN</code></td> <td> <p>a function to compute the summary statistics which can be applied to all data subsets.</p> </td> </tr> <tr valign='top'> <td><code>simplify</code></td> <td> <p>a logical indicating whether results should be simplified to a vector or matrix if possible.</p> </td> </tr> <tr valign='top'> <td><code>drop</code></td> <td> <p>a logical indicating whether to drop unused combinations of grouping values.</p> </td> </tr> <tr valign='top'> <td><code>formula</code></td> <td> <p>a formula, such as <code>y ~ x</code> or <code>cbind(y1, y2) ~ x1 + x2</code>, where the <code>y</code> variables are numeric data to be split into groups according to the grouping <code>x</code> variables (usually factors).</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>a data frame (or list) from which the variables in formula should be taken.</p> </td> </tr> <tr valign='top'> <td><code>subset</code></td> <td> <p>an optional vector specifying a subset of observations to be used.</p> </td> </tr> <tr valign='top'> <td><code>na.action</code></td> <td> <p>a function which indicates what should happen when the data contain <code>NA</code> values. The default is to ignore missing values in the given variables.</p> </td> </tr> <tr valign='top'> <td><code>nfrequency</code></td> <td> <p>new number of observations per unit of time; must be a divisor of the frequency of <code>x</code>.</p> </td> </tr> <tr valign='top'> <td><code>ndeltat</code></td> <td> <p>new fraction of the sampling period between successive observations; must be a divisor of the sampling interval of <code>x</code>.</p> </td> </tr> <tr valign='top'> <td><code>ts.eps</code></td> <td> <p>tolerance used to decide if <code>nfrequency</code> is a sub-multiple of the original frequency.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments passed to or used by methods.</p> </td> </tr> </table> "	FALSE
"AIC"	"stats"	"Akaike's An Information Criterion"	"<p>Generic function calculating Akaike's ‘An Information Criterion’ for one or several fitted model objects for which a log-likelihood value can be obtained, according to the formula <i>-2*log-likelihood + k*npar</i>, where <i>npar</i> represents the number of parameters in the fitted model, and <i>k = 2</i> for the usual AIC, or <i>k = log(n)</i> (<i>n</i> being the number of observations) for the so-called BIC or SBC (Schwarz's Bayesian criterion). </p>"	"<pre>AIC(object, ..., k = 2)<br />BIC(object, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>object</code></td> <td> <p>a fitted model object for which there exists a <code>logLik</code> method to extract the corresponding log-likelihood, or an object inheriting from class <code>logLik</code>.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>optionally more fitted model objects.</p> </td> </tr> <tr valign='top'> <td><code>k</code></td> <td> <p>numeric, the <em>penalty</em> per parameter to be used; the default <code>k = 2</code> is the classical AIC.</p> </td> </tr> </table> "	FALSE
"alias"	"stats"	"Find Aliases (Dependencies) in a Model"	"<p>Find aliases (linearly dependent terms) in a linear model specified by a formula. </p>"	"<pre>alias(object, ...)<br />## S3 method for class 'formula' alias(object, data, ...)<br />## S3 method for class 'lm' alias(object, complete = TRUE, partial = FALSE,<br />       partial.pattern = FALSE, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>object</code></td> <td> <p>A fitted model object, for example from <code>lm</code> or <code>aov</code>, or a formula for <code>alias.formula</code>.</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Optionally, a data frame to search for the objects in the formula.</p> </td> </tr> <tr valign='top'> <td><code>complete</code></td> <td> <p>Should information on complete aliasing be included?</p> </td> </tr> <tr valign='top'> <td><code>partial</code></td> <td> <p>Should information on partial aliasing be included?</p> </td> </tr> <tr valign='top'> <td><code>partial.pattern</code></td> <td> <p>Should partial aliasing be presented in a schematic way? If this is done, the results are presented in a more compact way, usually giving the deciles of the coefficients.</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>further arguments passed to or from other methods.</p> </td> </tr> </table> "	FALSE
"anova"	"stats"	"Anova Tables"	"<p>Compute analysis of variance (or deviance) tables for one or more fitted model objects. </p>"	"<pre>anova(object, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>object</code></td> <td> <p>an object containing the results returned by a model fitting function (e.g., <code>lm</code> or <code>glm</code>).</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>additional objects of the same type.</p> </td> </tr> </table> "	FALSE
