"name"	"package"	"summary"	"Description"	"Usage"	"Arguments"	"error"
"broom"	"broom"	"Convert Statistical Analysis Objects into Tidy Data Frames"	"<p>Convert statistical analysis objects from R into tidy data frames, so that they can more easily be combined, reshaped and otherwise processed with tools like dplyr, tidyr and ggplot2. The package provides three S3 generics: tidy, which summarizes a model's statistical findings such as coefficients of a regression; augment, which adds columns to the original data such as predictions, residuals and cluster assignments; and glance, which provides a one-row summary of model-level statistics. </p>"	NA	NA	FALSE
"aareg_tidiers"	"broom"	"Tidiers for aareg objects"	"<p>These tidy the coefficients of Aalen additive regression objects. </p>"	"<pre>## S3 method for class 'aareg' tidy(x, ...)<br />## S3 method for class 'aareg' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>an 'aareg' object</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> </table> "	FALSE
"acf_tidiers"	"broom"	"Tidying method for the acf function"	"<p>Tidy an 'acf' object, which is the output of <code>acf</code> and the related <code>pcf</code> and <code>ccf</code> functions. </p>"	"<pre>## S3 method for class 'acf' tidy(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>acf object</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>(not used)</p> </td> </tr> </table> "	FALSE
"anova_tidiers"	"broom"	"Tidying methods for anova and AOV objects"	"<p>Tidies the result of an analysis of variance into an ANOVA table. Only a <code>tidy</code> method is provided, not an <code>augment</code> or <code>glance</code> method. </p>"	"<pre>## S3 method for class 'anova' tidy(x, ...)<br />## S3 method for class 'aov' tidy(x, ...)<br />## S3 method for class 'aovlist' tidy(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>An object of class 'anova', 'aov', or 'aovlist'</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> </table> "	FALSE
"Arima_tidiers"	"broom"	"Tidying methods for ARIMA modeling of time series"	"<p>These methods tidy the coefficients of ARIMA models of univariate time series. </p>"	"<pre>## S3 method for class 'Arima' tidy(x, conf.int = FALSE, conf.level = 0.95, ...)<br />## S3 method for class 'Arima' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>An object of class 'Arima'</p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>whether to include a confidence interval</p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level of the interval, used only if <code>conf.int=TRUE</code></p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> </table> "	FALSE
"auc_tidiers"	"broom"	"Tidiers for objects from the AUC package"	"<p>Tidy 'roc' objects from the 'auc' package. This can be used to, for example, draw ROC curves in ggplot2. </p>"	"<pre>## S3 method for class 'roc' tidy(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>an 'roc' object</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>Additional arguments, not used</p> </td> </tr> </table> "	FALSE
"augment"	"broom"	"Augment data according to a tidied model"	"<p>Given an R statistical model or other non-tidy object, add columns to the original dataset such as predictions, residuals and cluster assignments. </p>"	"<pre>augment(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>model or other R object to convert to data frame</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>other arguments passed to methods</p> </td> </tr> </table> "	FALSE
"coxph_tidiers"	"broom"	"Tidiers for coxph object"	"<p>Tidy the coefficients of a Cox proportional hazards regression model, construct predictions, or summarize the entire model into a single row. </p>"	"<pre>## S3 method for class 'coxph' tidy(x, exponentiate = FALSE, conf.int = 0.95, ...)<br />## S3 method for class 'coxph' augment(x, data = stats::model.frame(x), newdata,<br />   type.predict = 'lp', type.residuals = 'martingale', ...)<br />## S3 method for class 'coxph' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>'coxph' object</p> </td> </tr> <tr valign='top'> <td><code>exponentiate</code></td> <td> <p>whether to report the estimate and confidence intervals on an exponential scale</p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>confidence level to be used for CI</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>Extra arguments, not used</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>original data for <code>augment</code></p> </td> </tr> <tr valign='top'> <td><code>newdata</code></td> <td> <p>new data on which to do predictions</p> </td> </tr> <tr valign='top'> <td><code>type.predict</code></td> <td> <p>type of predicted value (see <code>predict.coxph</code>)</p> </td> </tr> <tr valign='top'> <td><code>type.residuals</code></td> <td> <p>type of residuals (see <code>residuals.coxph</code>)</p> </td> </tr> </table> "	FALSE
"data.frame_tidiers"	"broom"	"Tidiers for data.frame objects"	"<p>These perform tidy summaries of data.frame objects. <code>tidy</code> produces summary statistics about each column, while <code>glance</code> simply reports the number of rows and columns. Note that <code>augment.data.frame</code> will throw an error. </p>"	"<pre>## S3 method for class 'data.frame' tidy(x, ...)<br />## S3 method for class 'data.frame' augment(x, data, ...)<br />## S3 method for class 'data.frame' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>A data.frame</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments: for <code>tidy</code>, these are passed on to <code>describe</code> from <code>psych</code> package</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>data, not used</p> </td> </tr> </table> "	FALSE
"felm_tidiers"	"broom"	"Tidying methods for models with multiple group fixed effects"	"<p>These methods tidy the coefficients of a linear model with multiple group fixed effects </p>"	"<pre>## S3 method for class 'felm' tidy(x, conf.int = FALSE, conf.level = 0.95, fe = FALSE,<br />   fe.error = fe, ...)<br />## S3 method for class 'felm' augment(x, data = NULL, ...)<br />## S3 method for class 'felm' glance(x, ...) </pre>"	"<table summary='R argblock'> <tr valign='top'> <td><code>x</code></td> <td> <p>felm object</p> </td> </tr> <tr valign='top'> <td><code>conf.int</code></td> <td> <p>whether to include a confidence interval</p> </td> </tr> <tr valign='top'> <td><code>conf.level</code></td> <td> <p>confidence level of the interval, used only if <code>conf.int=TRUE</code></p> </td> </tr> <tr valign='top'> <td><code>fe</code></td> <td> <p>whether to include estimates of fixed effects</p> </td> </tr> <tr valign='top'> <td><code>fe.error</code></td> <td> <p>whether to include standard error of fixed effects</p> </td> </tr> <tr valign='top'> <td><code>...</code></td> <td> <p>extra arguments (not used)</p> </td> </tr> <tr valign='top'> <td><code>data</code></td> <td> <p>Original data, defaults to extracting it from the model</p> </td> </tr> </table> "	FALSE
